[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> domain...
pipeline.py:185: SettingWithCopyWarning: 
A value is trying to be set on a copy of a slice from a DataFrame.
Try using .loc[row_indexer,col_indexer] = value instead

See the caveats in the documentation: https://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html#returning-a-view-versus-a-copy
  train_df['domain'] = train_df['url'].apply(extract_domain)
pipeline.py:186: SettingWithCopyWarning: 
A value is trying to be set on a copy of a slice from a DataFrame.
Try using .loc[row_indexer,col_indexer] = value instead

See the caveats in the documentation: https://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html#returning-a-view-versus-a-copy
  test_df['domain'] = test_df['url'].apply(extract_domain)
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=200, s=10.0
Epochs: 150
Feature(s): domain
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 318
==============================
[*] Training for 150 epochs...
Epoch   1: Train%/Test% | Accuracy: 58.06%/63.21%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 29.03%/31.60% | Recall: 50.00%/50.00% | F1: 36.73%/38.73% | Time: fit=013s, train=002s, test=000s, total=015s
Epoch   2: Train%/Test% | Accuracy: 58.06%/63.21%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 29.03%/31.60% | Recall: 50.00%/50.00% | F1: 36.73%/38.73% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch   3: Train%/Test% | Accuracy: 58.06%/63.21%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 29.03%/31.60% | Recall: 50.00%/50.00% | F1: 36.73%/38.73% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch   4: Train%/Test% | Accuracy: 59.36%/65.09% | Precision: 79.41%/82.21% | Recall: 51.55%/52.56% | F1: 40.05%/44.06% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch   5: Train%/Test% | Accuracy: 63.51%/67.92% | Precision: 77.06%/83.17% | Recall: 56.65%/56.41% | F1: 50.22%/51.24% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch   6: Train%/Test% | Accuracy: 61.61%/68.40% | Precision: 78.55%/83.33% | Recall: 54.28%/57.05% | F1: 45.59%/52.36% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch   7: Train%/Test% | Accuracy: 75.47%/70.75% | Precision: 75.25%/71.88% | Recall: 75.90%/73.38% | F1: 75.25%/70.49% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch   8: Train%/Test% | Accuracy: 77.25%/74.06% | Precision: 76.65%/73.93% | Recall: 76.84%/75.73% | F1: 76.73%/73.56% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch   9: Train%/Test% | Accuracy: 75.47%/70.75% | Precision: 75.11%/71.88% | Recall: 75.70%/73.38% | F1: 75.19%/70.49% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  10: Train%/Test% | Accuracy: 76.66%/72.64% | Precision: 76.04%/72.40% | Recall: 76.02%/74.07% | F1: 76.03%/72.08% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  11: Train%/Test% | Accuracy: 74.76%/71.70% | Precision: 74.35%/71.02% | Recall: 73.21%/72.52% | F1: 73.55%/70.95% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  12: Train%/Test% | Accuracy: 72.51%/71.23% | Precision: 80.67%/81.82% | Recall: 67.62%/61.17% | F1: 66.88%/59.23% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  13: Train%/Test% | Accuracy: 78.67%/71.70% | Precision: 82.48%/77.25% | Recall: 75.40%/62.61% | F1: 76.16%/61.78% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  14: Train%/Test% | Accuracy: 63.74%/70.28% | Precision: 78.05%/84.01% | Recall: 56.90%/59.62% | F1: 50.55%/56.61% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  15: Train%/Test% | Accuracy: 63.74%/68.87% | Precision: 78.05%/83.50% | Recall: 56.90%/57.69% | F1: 50.55%/53.45% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  16: Train%/Test% | Accuracy: 80.69%/74.06% | Precision: 83.87%/81.97% | Recall: 77.80%/65.28% | F1: 78.71%/65.19% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  17: Train%/Test% | Accuracy: 82.35%/74.06% | Precision: 84.68%/81.97% | Recall: 79.90%/65.28% | F1: 80.83%/65.19% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  18: Train%/Test% | Accuracy: 78.08%/75.47% | Precision: 77.74%/74.62% | Recall: 76.85%/76.31% | F1: 77.17%/74.74% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  19: Train%/Test% | Accuracy: 81.87%/74.53% | Precision: 84.23%/82.30% | Recall: 79.37%/65.92% | F1: 80.29%/66.04% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  20: Train%/Test% | Accuracy: 77.96%/74.53% | Precision: 83.73%/85.64% | Recall: 74.16%/65.38% | F1: 74.78%/65.14% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  21: Train%/Test% | Accuracy: 78.32%/74.06% | Precision: 84.14%/83.56% | Recall: 74.54%/65.01% | F1: 75.21%/64.73% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  22: Train%/Test% | Accuracy: 82.94%/73.58% | Precision: 85.56%/80.24% | Recall: 80.45%/64.91% | F1: 81.44%/64.78% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  23: Train%/Test% | Accuracy: 82.58%/73.11% | Precision: 84.54%/78.62% | Recall: 80.30%/64.53% | F1: 81.20%/64.37% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  24: Train%/Test% | Accuracy: 78.91%/75.00% | Precision: 78.53%/74.23% | Recall: 77.84%/75.94% | F1: 78.10%/74.30% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  25: Train%/Test% | Accuracy: 78.79%/73.11% | Precision: 78.33%/72.99% | Recall: 77.85%/74.71% | F1: 78.05%/72.60% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  26: Train%/Test% | Accuracy: 79.15%/75.47% | Precision: 78.80%/74.80% | Recall: 78.04%/76.58% | F1: 78.33%/74.82% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  27: Train%/Test% | Accuracy: 79.74%/75.00% | Precision: 79.39%/74.23% | Recall: 78.71%/75.94% | F1: 78.97%/74.30% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  28: Train%/Test% | Accuracy: 79.74%/75.00% | Precision: 79.37%/74.43% | Recall: 78.75%/76.21% | F1: 78.99%/74.38% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  29: Train%/Test% | Accuracy: 80.21%/75.00% | Precision: 79.94%/74.43% | Recall: 79.12%/76.21% | F1: 79.43%/74.38% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  30: Train%/Test% | Accuracy: 80.45%/74.53% | Precision: 80.19%/73.86% | Recall: 79.36%/75.56% | F1: 79.67%/73.86% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  31: Train%/Test% | Accuracy: 80.21%/75.00% | Precision: 79.89%/74.43% | Recall: 79.20%/76.21% | F1: 79.47%/74.38% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  32: Train%/Test% | Accuracy: 80.45%/75.94% | Precision: 80.29%/75.00% | Recall: 79.24%/76.68% | F1: 79.61%/75.19% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  33: Train%/Test% | Accuracy: 79.50%/75.47% | Precision: 79.22%/74.62% | Recall: 78.35%/76.31% | F1: 78.67%/74.74% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  34: Train%/Test% | Accuracy: 79.62%/75.94% | Precision: 79.46%/74.84% | Recall: 78.33%/76.42% | F1: 78.72%/75.10% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  35: Train%/Test% | Accuracy: 80.33%/76.42% | Precision: 80.18%/75.40% | Recall: 79.10%/77.06% | F1: 79.48%/75.63% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  36: Train%/Test% | Accuracy: 81.04%/76.42% | Precision: 80.77%/75.56% | Recall: 80.03%/77.32% | F1: 80.32%/75.71% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  37: Train%/Test% | Accuracy: 81.16%/76.89% | Precision: 80.89%/76.13% | Recall: 80.17%/77.97% | F1: 80.45%/76.24% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  38: Train%/Test% | Accuracy: 80.92%/75.94% | Precision: 80.64%/75.18% | Recall: 79.93%/76.95% | F1: 80.20%/75.27% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  39: Train%/Test% | Accuracy: 80.81%/75.94% | Precision: 80.43%/75.38% | Recall: 79.94%/77.22% | F1: 80.14%/75.35% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  40: Train%/Test% | Accuracy: 79.98%/74.53% | Precision: 79.67%/74.29% | Recall: 78.91%/76.10% | F1: 79.20%/74.01% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  41: Train%/Test% | Accuracy: 80.57%/75.47% | Precision: 80.23%/75.01% | Recall: 79.62%/76.85% | F1: 79.86%/74.90% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  42: Train%/Test% | Accuracy: 80.92%/75.00% | Precision: 80.61%/74.65% | Recall: 79.96%/76.47% | F1: 80.22%/74.45% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  43: Train%/Test% | Accuracy: 84.60%/75.00% | Precision: 87.18%/84.09% | Recall: 82.27%/66.29% | F1: 83.31%/66.45% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  44: Train%/Test% | Accuracy: 84.83%/75.00% | Precision: 87.46%/84.09% | Recall: 82.51%/66.29% | F1: 83.57%/66.45% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  45: Train%/Test% | Accuracy: 81.40%/75.47% | Precision: 81.03%/75.01% | Recall: 80.57%/76.85% | F1: 80.77%/74.90% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  46: Train%/Test% | Accuracy: 81.28%/75.00% | Precision: 80.97%/74.65% | Recall: 80.35%/76.47% | F1: 80.60%/74.45% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  47: Train%/Test% | Accuracy: 81.75%/75.00% | Precision: 81.47%/74.65% | Recall: 80.84%/76.47% | F1: 81.09%/74.45% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  48: Train%/Test% | Accuracy: 81.64%/74.06% | Precision: 81.33%/73.70% | Recall: 80.73%/75.46% | F1: 80.98%/73.49% | Time: fit=010s, train=002s, test=000s, total=013s
