[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> domain...
pipeline.py:185: SettingWithCopyWarning: 
A value is trying to be set on a copy of a slice from a DataFrame.
Try using .loc[row_indexer,col_indexer] = value instead

See the caveats in the documentation: https://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html#returning-a-view-versus-a-copy
  train_df['domain'] = train_df['url'].apply(extract_domain)
pipeline.py:186: SettingWithCopyWarning: 
A value is trying to be set on a copy of a slice from a DataFrame.
Try using .loc[row_indexer,col_indexer] = value instead

See the caveats in the documentation: https://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html#returning-a-view-versus-a-copy
  test_df['domain'] = test_df['url'].apply(extract_domain)
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=250, s=10.0
Epochs: 150
Feature(s): domain
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 318
==============================
[*] Training for 150 epochs...
Epoch   1: Train%/Test% | Accuracy: 58.06%/63.21%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 29.03%/31.60% | Recall: 50.00%/50.00% | F1: 36.73%/38.73% | Time: fit=013s, train=002s, test=001s, total=015s
Epoch   2: Train%/Test% | Accuracy: 58.06%/63.21%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 29.03%/31.60% | Recall: 50.00%/50.00% | F1: 36.73%/38.73% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch   3: Train%/Test% | Accuracy: 58.06%/63.21%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 29.03%/31.60% | Recall: 50.00%/50.00% | F1: 36.73%/38.73% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch   4: Train%/Test% | Accuracy: 58.06%/63.21%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 29.03%/31.60% | Recall: 50.00%/50.00% | F1: 36.73%/38.73% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch   5: Train%/Test% | Accuracy: 58.06%/63.21%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 29.03%/31.60% | Recall: 50.00%/50.00% | F1: 36.73%/38.73% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch   6: Train%/Test% | Accuracy: 60.55%/66.04% | Precision: 75.79%/82.52% | Recall: 53.04%/53.85% | F1: 43.35%/46.55% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch   7: Train%/Test% | Accuracy: 67.30%/69.81% | Precision: 80.25%/83.84% | Recall: 61.13%/58.97% | F1: 57.45%/55.58% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch   8: Train%/Test% | Accuracy: 75.71%/71.70% | Precision: 80.41%/80.19% | Recall: 71.87%/62.07% | F1: 72.23%/60.74% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch   9: Train%/Test% | Accuracy: 64.22%/68.40% | Precision: 79.18%/83.33% | Recall: 57.42%/57.05% | F1: 51.36%/52.36% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  10: Train%/Test% | Accuracy: 64.81%/69.81% | Precision: 78.80%/83.84% | Recall: 58.17%/58.97% | F1: 52.70%/55.58% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  11: Train%/Test% | Accuracy: 62.32%/68.87% | Precision: 80.32%/83.50% | Recall: 55.08%/57.69% | F1: 46.98%/53.45% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  12: Train%/Test% | Accuracy: 61.26%/67.45% | Precision: 76.79%/83.00% | Recall: 53.89%/55.77% | F1: 44.98%/50.11% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  13: Train%/Test% | Accuracy: 60.90%/67.45% | Precision: 76.33%/83.00% | Recall: 53.47%/55.77% | F1: 44.17%/50.11% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  14: Train%/Test% | Accuracy: 60.31%/67.45% | Precision: 79.70%/83.00% | Recall: 52.68%/55.77% | F1: 42.36%/50.11% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  15: Train%/Test% | Accuracy: 60.31%/67.45% | Precision: 79.70%/83.00% | Recall: 52.68%/55.77% | F1: 42.36%/50.11% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  16: Train%/Test% | Accuracy: 61.97%/68.87% | Precision: 76.40%/83.50% | Recall: 54.78%/57.69% | F1: 46.77%/53.45% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  17: Train%/Test% | Accuracy: 61.85%/68.40% | Precision: 76.26%/83.33% | Recall: 54.64%/57.05% | F1: 46.51%/52.36% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  18: Train%/Test% | Accuracy: 61.49%/68.40% | Precision: 75.81%/83.33% | Recall: 54.21%/57.05% | F1: 45.72%/52.36% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  19: Train%/Test% | Accuracy: 61.61%/68.40% | Precision: 77.18%/83.33% | Recall: 54.32%/57.05% | F1: 45.79%/52.36% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  20: Train%/Test% | Accuracy: 61.14%/67.92% | Precision: 75.30%/83.17% | Recall: 53.79%/56.41% | F1: 44.92%/51.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  21: Train%/Test% | Accuracy: 62.56%/68.87% | Precision: 77.03%/83.50% | Recall: 55.48%/57.69% | F1: 48.05%/53.45% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  22: Train%/Test% | Accuracy: 84.36%/74.53% | Precision: 86.78%/82.30% | Recall: 82.06%/65.92% | F1: 83.08%/66.04% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  23: Train%/Test% | Accuracy: 81.40%/73.58% | Precision: 86.32%/83.29% | Recall: 78.14%/64.37% | F1: 79.15%/63.85% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  24: Train%/Test% | Accuracy: 83.18%/73.58% | Precision: 86.63%/81.64% | Recall: 80.45%/64.64% | F1: 81.53%/64.33% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  25: Train%/Test% | Accuracy: 82.58%/74.53% | Precision: 86.85%/83.83% | Recall: 79.59%/65.65% | F1: 80.68%/65.60% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  26: Train%/Test% | Accuracy: 79.62%/75.47% | Precision: 79.09%/74.80% | Recall: 79.00%/76.58% | F1: 79.04%/74.82% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  27: Train%/Test% | Accuracy: 79.27%/75.47% | Precision: 78.71%/75.01% | Recall: 78.77%/76.85% | F1: 78.74%/74.90% | Time: fit=010s, train=002s, test=001s, total=013s
