[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> text...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=150, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 2934
==============================
[*] Training for 150 epochs...
Epoch   1: Train%/Test% | Accuracy: 41.94%/36.79%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 20.97%/18.40% | Recall: 50.00%/50.00% | F1: 29.55%/26.90% | Time: fit=018s, train=003s, test=001s, total=022s
Epoch   2: Train%/Test% | Accuracy: 58.41%/63.21%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 79.13%/31.60% | Recall: 50.42%/50.00% | F1: 37.65%/38.73% | Time: fit=018s, train=003s, test=001s, total=022s
Epoch   3: Train%/Test% | Accuracy: 61.02%/65.57% | Precision: 79.91%/75.30% | Recall: 53.53%/53.47% | F1: 44.03%/46.29% | Time: fit=018s, train=003s, test=001s, total=022s
Epoch   4: Train%/Test% | Accuracy: 62.80%/66.51% | Precision: 79.30%/82.68% | Recall: 55.69%/54.49% | F1: 48.20%/47.76% | Time: fit=018s, train=003s, test=001s, total=022s
Epoch   5: Train%/Test% | Accuracy: 66.47%/68.87% | Precision: 80.40%/77.42% | Recall: 60.11%/58.23% | F1: 55.78%/54.89% | Time: fit=017s, train=003s, test=001s, total=022s
Epoch   6: Train%/Test% | Accuracy: 72.51%/71.23% | Precision: 79.15%/74.63% | Recall: 67.86%/62.50% | F1: 67.33%/61.87% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   7: Train%/Test% | Accuracy: 73.10%/72.64% | Precision: 79.35%/76.18% | Recall: 68.60%/64.43% | F1: 68.29%/64.40% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   8: Train%/Test% | Accuracy: 74.76%/73.11% | Precision: 80.30%/76.66% | Recall: 70.62%/65.07% | F1: 70.74%/65.22% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   9: Train%/Test% | Accuracy: 75.00%/74.06% | Precision: 79.91%/76.83% | Recall: 71.02%/66.62% | F1: 71.24%/67.19% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  10: Train%/Test% | Accuracy: 75.12%/74.06% | Precision: 79.33%/76.83% | Recall: 71.32%/66.62% | F1: 71.63%/67.19% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  11: Train%/Test% | Accuracy: 77.61%/75.47% | Precision: 80.49%/78.17% | Recall: 74.48%/68.54% | F1: 75.16%/69.47% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  12: Train%/Test% | Accuracy: 77.96%/75.94% | Precision: 80.64%/78.60% | Recall: 74.94%/69.18% | F1: 75.65%/70.21% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  13: Train%/Test% | Accuracy: 78.55%/75.47% | Precision: 80.98%/77.54% | Recall: 75.69%/68.81% | F1: 76.44%/69.78% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  14: Train%/Test% | Accuracy: 80.45%/78.30% | Precision: 80.82%/78.08% | Recall: 78.77%/74.00% | F1: 79.35%/75.10% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  15: Train%/Test% | Accuracy: 79.86%/76.42% | Precision: 79.86%/75.29% | Recall: 78.42%/72.50% | F1: 78.88%/73.34% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  16: Train%/Test% | Accuracy: 80.33%/76.42% | Precision: 80.25%/75.29% | Recall: 79.02%/72.50% | F1: 79.44%/73.34% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  17: Train%/Test% | Accuracy: 80.45%/78.30% | Precision: 80.99%/77.81% | Recall: 78.66%/74.26% | F1: 79.27%/75.29% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  18: Train%/Test% | Accuracy: 81.40%/77.83% | Precision: 82.24%/77.35% | Recall: 79.51%/73.62% | F1: 80.21%/74.66% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  19: Train%/Test% | Accuracy: 81.04%/77.83% | Precision: 81.50%/77.11% | Recall: 79.36%/73.89% | F1: 79.96%/74.85% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  20: Train%/Test% | Accuracy: 81.04%/72.17% | Precision: 80.97%/71.39% | Recall: 81.79%/72.90% | F1: 80.90%/71.39% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  21: Train%/Test% | Accuracy: 83.06%/74.06% | Precision: 82.71%/72.64% | Recall: 83.49%/73.85% | F1: 82.86%/72.94% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  22: Train%/Test% | Accuracy: 74.64%/64.62% | Precision: 77.92%/67.94% | Recall: 77.18%/68.53% | F1: 74.62%/64.58% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  23: Train%/Test% | Accuracy: 72.75%/62.74% | Precision: 77.37%/67.67% | Recall: 75.75%/67.58% | F1: 72.64%/62.74% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  24: Train%/Test% | Accuracy: 73.34%/63.21% | Precision: 77.35%/67.07% | Recall: 76.14%/67.41% | F1: 73.27%/63.19% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  25: Train%/Test% | Accuracy: 75.47%/66.51% | Precision: 79.07%/69.12% | Recall: 78.13%/70.02% | F1: 75.44%/66.42% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  26: Train%/Test% | Accuracy: 75.12%/66.51% | Precision: 78.32%/69.12% | Recall: 77.63%/70.02% | F1: 75.09%/66.42% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  27: Train%/Test% | Accuracy: 73.70%/64.15% | Precision: 78.03%/68.50% | Recall: 76.60%/68.69% | F1: 73.61%/64.15% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  28: Train%/Test% | Accuracy: 76.90%/66.51% | Precision: 78.90%/68.41% | Recall: 78.93%/69.49% | F1: 76.90%/66.34% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  29: Train%/Test% | Accuracy: 68.84%/56.60% | Precision: 76.12%/64.60% | Recall: 72.61%/62.99% | F1: 68.40%/56.36% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  30: Train%/Test% | Accuracy: 70.73%/57.08% | Precision: 76.94%/64.88% | Recall: 74.21%/63.37% | F1: 70.46%/56.86% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  31: Train%/Test% | Accuracy: 69.08%/58.96% | Precision: 75.77%/65.99% | Recall: 72.70%/64.86% | F1: 68.71%/58.85% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  32: Train%/Test% | Accuracy: 78.20%/67.92% | Precision: 79.79%/69.03% | Recall: 80.05%/70.34% | F1: 78.19%/67.64% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  33: Train%/Test% | Accuracy: 76.66%/67.92% | Precision: 78.92%/69.34% | Recall: 78.80%/70.61% | F1: 76.66%/67.69% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  34: Train%/Test% | Accuracy: 79.15%/70.28% | Precision: 80.53%/71.25% | Recall: 80.90%/72.74% | F1: 79.14%/69.99% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  35: Train%/Test% | Accuracy: 84.00%/76.89% | Precision: 83.66%/75.18% | Recall: 83.40%/74.75% | F1: 83.52%/74.95% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  36: Train%/Test% | Accuracy: 83.06%/78.77% | Precision: 82.98%/77.66% | Recall: 82.00%/75.71% | F1: 82.37%/76.42% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  37: Train%/Test% | Accuracy: 82.70%/77.83% | Precision: 82.41%/76.34% | Recall: 81.89%/75.23% | F1: 82.11%/75.68% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  38: Train%/Test% | Accuracy: 81.75%/77.83% | Precision: 82.28%/77.63% | Recall: 80.09%/73.35% | F1: 80.71%/74.46% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  39: Train%/Test% | Accuracy: 82.35%/77.83% | Precision: 82.78%/77.35% | Recall: 80.80%/73.62% | F1: 81.39%/74.66% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  40: Train%/Test% | Accuracy: 82.23%/78.30% | Precision: 82.52%/77.81% | Recall: 80.77%/74.26% | F1: 81.32%/75.29% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  41: Train%/Test% | Accuracy: 82.23%/78.30% | Precision: 82.62%/77.81% | Recall: 80.70%/74.26% | F1: 81.28%/75.29% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  42: Train%/Test% | Accuracy: 82.11%/78.77% | Precision: 82.58%/78.53% | Recall: 80.51%/74.64% | F1: 81.12%/75.74% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  43: Train%/Test% | Accuracy: 83.18%/78.77% | Precision: 83.17%/77.83% | Recall: 82.06%/75.44% | F1: 82.46%/76.26% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  44: Train%/Test% | Accuracy: 83.89%/77.36% | Precision: 83.96%/75.96% | Recall: 82.75%/74.32% | F1: 83.19%/74.93% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  45: Train%/Test% | Accuracy: 84.60%/77.36% | Precision: 84.55%/75.96% | Recall: 83.64%/74.32% | F1: 83.99%/74.93% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  46: Train%/Test% | Accuracy: 83.41%/77.83% | Precision: 83.86%/76.90% | Recall: 81.95%/74.16% | F1: 82.55%/75.03% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  47: Train%/Test% | Accuracy: 82.82%/78.30% | Precision: 83.55%/78.39% | Recall: 81.13%/73.73% | F1: 81.81%/74.90% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  48: Train%/Test% | Accuracy: 82.23%/79.25% | Precision: 83.36%/79.98% | Recall: 80.26%/74.47% | F1: 81.03%/75.80% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  49: Train%/Test% | Accuracy: 83.77%/78.77% | Precision: 84.34%/79.17% | Recall: 82.26%/74.10% | F1: 82.89%/75.35% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  50: Train%/Test% | Accuracy: 82.70%/78.77% | Precision: 83.52%/79.17% | Recall: 80.95%/74.10% | F1: 81.65%/75.35% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  51: Train%/Test% | Accuracy: 83.89%/76.42% | Precision: 83.45%/74.89% | Recall: 84.12%/75.99% | F1: 83.65%/75.25% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  52: Train%/Test% | Accuracy: 85.55%/79.72% | Precision: 85.26%/78.46% | Recall: 84.96%/77.26% | F1: 85.10%/77.75% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  53: Train%/Test% | Accuracy: 84.72%/79.25% | Precision: 84.66%/78.12% | Recall: 83.78%/76.35% | F1: 84.12%/77.02% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  54: Train%/Test% | Accuracy: 84.12%/78.77% | Precision: 84.17%/77.83% | Recall: 83.03%/75.44% | F1: 83.45%/76.26% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  55: Train%/Test% | Accuracy: 83.53%/78.30% | Precision: 83.48%/77.36% | Recall: 82.48%/74.80% | F1: 82.86%/75.65% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  56: Train%/Test% | Accuracy: 84.12%/77.83% | Precision: 84.13%/76.72% | Recall: 83.07%/74.43% | F1: 83.47%/75.20% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  57: Train%/Test% | Accuracy: 84.60%/77.36% | Precision: 84.68%/76.09% | Recall: 83.52%/74.05% | F1: 83.95%/74.76% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  58: Train%/Test% | Accuracy: 84.83%/77.83% | Precision: 84.37%/76.16% | Recall: 84.67%/76.30% | F1: 84.50%/76.23% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  59: Train%/Test% | Accuracy: 85.43%/79.25% | Precision: 85.00%/77.79% | Recall: 85.14%/77.15% | F1: 85.07%/77.44% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  60: Train%/Test% | Accuracy: 84.24%/78.30% | Precision: 83.77%/76.68% | Recall: 84.27%/77.21% | F1: 83.95%/76.91% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  61: Train%/Test% | Accuracy: 84.12%/77.36% | Precision: 83.69%/75.78% | Recall: 84.37%/76.73% | F1: 83.89%/76.14% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  62: Train%/Test% | Accuracy: 84.60%/76.89% | Precision: 84.13%/75.21% | Recall: 84.66%/75.82% | F1: 84.32%/75.47% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  63: Train%/Test% | Accuracy: 84.60%/79.25% | Precision: 84.12%/77.67% | Recall: 84.62%/77.96% | F1: 84.31%/77.81% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  64: Train%/Test% | Accuracy: 81.16%/71.70% | Precision: 81.99%/72.23% | Recall: 82.64%/73.86% | F1: 81.13%/71.33% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  65: Train%/Test% | Accuracy: 80.45%/72.64% | Precision: 81.74%/72.90% | Recall: 82.18%/74.61% | F1: 80.44%/72.22% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  66: Train%/Test% | Accuracy: 80.57%/71.23% | Precision: 81.68%/71.35% | Recall: 82.21%/72.95% | F1: 80.55%/70.75% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  67: Train%/Test% | Accuracy: 83.65%/76.42% | Precision: 83.48%/74.99% | Recall: 84.35%/76.25% | F1: 83.51%/75.35% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  68: Train%/Test% | Accuracy: 84.12%/77.36% | Precision: 83.77%/75.86% | Recall: 84.56%/77.00% | F1: 83.93%/76.24% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  69: Train%/Test% | Accuracy: 83.77%/75.94% | Precision: 83.41%/74.57% | Recall: 84.18%/75.88% | F1: 83.57%/74.91% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  70: Train%/Test% | Accuracy: 84.24%/77.36% | Precision: 84.12%/76.07% | Recall: 85.02%/77.54% | F1: 84.12%/76.43% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  71: Train%/Test% | Accuracy: 83.65%/77.83% | Precision: 83.51%/76.49% | Recall: 84.39%/77.91% | F1: 83.52%/76.88% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  72: Train%/Test% | Accuracy: 85.07%/79.25% | Precision: 84.88%/77.99% | Recall: 84.32%/76.62% | F1: 84.56%/77.16% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  73: Train%/Test% | Accuracy: 85.07%/80.19% | Precision: 84.85%/78.93% | Recall: 84.36%/77.90% | F1: 84.57%/78.34% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  74: Train%/Test% | Accuracy: 85.07%/79.25% | Precision: 84.85%/77.79% | Recall: 84.36%/77.15% | F1: 84.57%/77.44% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  75: Train%/Test% | Accuracy: 83.65%/78.77% | Precision: 83.67%/78.03% | Recall: 82.55%/75.17% | F1: 82.96%/76.09% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  76: Train%/Test% | Accuracy: 84.48%/78.77% | Precision: 84.15%/77.24% | Recall: 83.89%/76.78% | F1: 84.01%/76.99% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  77: Train%/Test% | Accuracy: 84.60%/78.30% | Precision: 84.22%/76.75% | Recall: 84.11%/76.14% | F1: 84.16%/76.41% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  78: Train%/Test% | Accuracy: 85.19%/78.77% | Precision: 84.82%/77.24% | Recall: 84.74%/76.78% | F1: 84.78%/76.99% | Time: fit=016s, train=003s, test=001s, total=020s
