[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> text...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 2934
==============================
[*] Training for 150 epochs...
Epoch   1: Train%/Test% | Accuracy: 41.94%/36.79%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 20.97%/18.40% | Recall: 50.00%/50.00% | F1: 29.55%/26.90% | Time: fit=019s, train=003s, test=001s, total=023s
Epoch   2: Train%/Test% | Accuracy: 59.12%/63.68% | Precision: 79.34%/81.75% | Recall: 51.27%/50.64% | F1: 39.46%/40.11% | Time: fit=018s, train=003s, test=001s, total=022s
Epoch   3: Train%/Test% | Accuracy: 62.56%/66.51% | Precision: 79.16%/82.68% | Recall: 55.41%/54.49% | F1: 47.69%/47.76% | Time: fit=018s, train=003s, test=001s, total=022s
Epoch   4: Train%/Test% | Accuracy: 64.69%/66.98% | Precision: 80.24%/74.67% | Recall: 57.95%/55.66% | F1: 52.16%/50.63% | Time: fit=018s, train=003s, test=001s, total=022s
Epoch   5: Train%/Test% | Accuracy: 69.31%/69.81% | Precision: 80.43%/76.61% | Recall: 63.61%/59.78% | F1: 61.25%/57.53% | Time: fit=018s, train=003s, test=001s, total=022s
Epoch   6: Train%/Test% | Accuracy: 75.95%/72.64% | Precision: 79.36%/76.18% | Recall: 72.46%/64.43% | F1: 72.95%/64.40% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   7: Train%/Test% | Accuracy: 75.36%/70.75% | Precision: 77.67%/70.87% | Recall: 72.15%/63.20% | F1: 72.64%/63.21% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   8: Train%/Test% | Accuracy: 74.29%/71.70% | Precision: 79.77%/76.13% | Recall: 70.10%/62.88% | F1: 70.13%/62.26% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   9: Train%/Test% | Accuracy: 74.76%/71.70% | Precision: 80.49%/76.13% | Recall: 70.58%/62.88% | F1: 70.68%/62.26% | Time: fit=017s, train=003s, test=001s, total=021s
