[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> text...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=250, s=10.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 2934
==============================
[*] Training for 150 epochs...
*** compiler output in /tmp/tmpjq770mxy
*** compiler output in /tmp/tmpy1_ua4_4
Epoch   1: Train%/Test% | Accuracy: 41.94%/36.79%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 20.97%/18.40% | Recall: 50.00%/50.00% | F1: 29.55%/26.90% | Time: fit=023s, train=003s, test=001s, total=027s
Epoch   2: Train%/Test% | Accuracy: 67.65%/67.92% | Precision: 75.96%/70.05% | Recall: 61.99%/58.02% | F1: 59.38%/55.51% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   3: Train%/Test% | Accuracy: 68.84%/68.40% | Precision: 77.57%/70.82% | Recall: 63.32%/58.66% | F1: 61.17%/56.46% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   4: Train%/Test% | Accuracy: 68.60%/68.40% | Precision: 76.17%/70.82% | Recall: 63.20%/58.66% | F1: 61.18%/56.46% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   5: Train%/Test% | Accuracy: 69.91%/69.81% | Precision: 76.47%/72.87% | Recall: 64.87%/60.58% | F1: 63.57%/59.23% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   6: Train%/Test% | Accuracy: 74.88%/72.17% | Precision: 79.15%/75.68% | Recall: 71.04%/63.79% | F1: 71.30%/63.57% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   7: Train%/Test% | Accuracy: 75.71%/72.17% | Precision: 79.18%/74.16% | Recall: 72.18%/64.32% | F1: 72.63%/64.41% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   8: Train%/Test% | Accuracy: 77.01%/74.06% | Precision: 79.44%/76.16% | Recall: 73.97%/66.89% | F1: 74.60%/67.54% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   9: Train%/Test% | Accuracy: 77.84%/74.06% | Precision: 80.43%/76.16% | Recall: 74.84%/66.89% | F1: 75.54%/67.54% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  10: Train%/Test% | Accuracy: 78.32%/73.11% | Precision: 78.79%/71.63% | Recall: 76.35%/68.28% | F1: 76.93%/69.03% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  11: Train%/Test% | Accuracy: 78.32%/74.06% | Precision: 78.57%/72.83% | Recall: 76.50%/69.30% | F1: 77.04%/70.11% | Time: fit=017s, train=003s, test=001s, total=021s
