[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> text...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=250, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 2934
==============================
[*] Training for 150 epochs...
*** compiler output in /tmp/tmpz0ke4uou
*** compiler output in /tmp/tmp9qibpyra
Epoch   1: Train%/Test% | Accuracy: 41.94%/36.79%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 20.97%/18.40% | Recall: 50.00%/50.00% | F1: 29.55%/26.90% | Time: fit=023s, train=003s, test=001s, total=027s
Epoch   2: Train%/Test% | Accuracy: 58.06%/63.21%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 29.03%/31.60% | Recall: 50.00%/50.00% | F1: 36.73%/38.73% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   3: Train%/Test% | Accuracy: 58.77%/63.68% | Precision: 79.24%/81.75% | Recall: 50.85%/50.64% | F1: 38.56%/40.11% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   4: Train%/Test% | Accuracy: 58.89%/63.68% | Precision: 79.27%/81.75% | Recall: 50.99%/50.64% | F1: 38.86%/40.11% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   5: Train%/Test% | Accuracy: 60.07%/65.57% | Precision: 79.63%/82.37% | Recall: 52.40%/53.21% | F1: 41.79%/45.32% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   6: Train%/Test% | Accuracy: 65.28%/67.92% | Precision: 80.51%/79.08% | Recall: 58.66%/56.68% | F1: 53.34%/52.04% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   7: Train%/Test% | Accuracy: 68.13%/70.28% | Precision: 79.74%/78.93% | Recall: 62.20%/60.15% | F1: 59.19%/57.89% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   8: Train%/Test% | Accuracy: 67.18%/70.28% | Precision: 81.33%/84.01% | Recall: 60.91%/59.62% | F1: 56.98%/56.61% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   9: Train%/Test% | Accuracy: 70.62%/70.28% | Precision: 80.79%/77.15% | Recall: 65.21%/60.42% | F1: 63.53%/58.49% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  10: Train%/Test% | Accuracy: 71.92%/70.28% | Precision: 79.74%/74.49% | Recall: 67.00%/60.95% | F1: 66.13%/59.60% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  11: Train%/Test% | Accuracy: 75.47%/73.11% | Precision: 79.91%/76.66% | Recall: 71.66%/65.07% | F1: 72.01%/65.22% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  12: Train%/Test% | Accuracy: 75.71%/72.64% | Precision: 80.59%/75.38% | Recall: 71.83%/64.70% | F1: 72.17%/64.81% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  13: Train%/Test% | Accuracy: 77.25%/73.58% | Precision: 81.34%/76.36% | Recall: 73.74%/65.98% | F1: 74.35%/66.41% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  14: Train%/Test% | Accuracy: 80.69%/76.89% | Precision: 81.51%/76.72% | Recall: 78.74%/72.07% | F1: 79.43%/73.16% | Time: fit=017s, train=003s, test=001s, total=021s
