[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> tweet_ids...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=100, s=10.0
Epochs: 100
Feature(s): tweet
max-vocab=3000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 500
==============================
[*] Training for 100 epochs...
Epoch   1: Train%/Test% | Accuracy: 58.06%/63.21%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 54.04%/31.60% | Recall: 50.04%/50.00% | F1: 36.99%/38.73% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch   2: Train%/Test% | Accuracy: 43.96%/37.26% | Precision: 68.76%/68.48% | Recall: 51.70%/50.37% | F1: 33.48%/27.73% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch   3: Train%/Test% | Accuracy: 44.31%/37.26% | Precision: 69.20%/68.48% | Recall: 52.00%/50.37% | F1: 34.12%/27.73% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch   4: Train%/Test% | Accuracy: 44.19%/38.68% | Precision: 69.06%/68.75% | Recall: 51.90%/51.49% | F1: 33.91%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch   5: Train%/Test% | Accuracy: 44.19%/38.68% | Precision: 69.06%/68.75% | Recall: 51.90%/51.49% | F1: 33.91%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch   6: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 69.32%/68.75% | Recall: 52.10%/51.49% | F1: 34.33%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch   7: Train%/Test% | Accuracy: 44.31%/38.68% | Precision: 71.48%/68.75% | Recall: 52.04%/51.49% | F1: 33.97%/30.17% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch   8: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 71.51%/68.75% | Recall: 52.14%/51.49% | F1: 34.19%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch   9: Train%/Test% | Accuracy: 44.31%/38.68% | Precision: 71.48%/68.75% | Recall: 52.04%/51.49% | F1: 33.97%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  10: Train%/Test% | Accuracy: 44.31%/38.68% | Precision: 69.20%/68.75% | Recall: 52.00%/51.49% | F1: 34.12%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  11: Train%/Test% | Accuracy: 44.31%/38.68% | Precision: 71.48%/68.75% | Recall: 52.04%/51.49% | F1: 33.97%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  12: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 69.32%/68.75% | Recall: 52.10%/51.49% | F1: 34.33%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  13: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 71.53%/68.75% | Recall: 52.24%/51.49% | F1: 34.40%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  14: Train%/Test% | Accuracy: 44.31%/38.68% | Precision: 71.48%/68.75% | Recall: 52.04%/51.49% | F1: 33.97%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  15: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 71.53%/68.75% | Recall: 52.24%/51.49% | F1: 34.40%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  16: Train%/Test% | Accuracy: 44.19%/38.68% | Precision: 71.45%/68.75% | Recall: 51.94%/51.49% | F1: 33.76%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  17: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 71.51%/68.75% | Recall: 52.14%/51.49% | F1: 34.19%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  18: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 71.53%/68.75% | Recall: 52.24%/51.49% | F1: 34.40%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  19: Train%/Test% | Accuracy: 44.79%/38.68% | Precision: 71.59%/68.75% | Recall: 52.45%/51.49% | F1: 34.82%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
