[nltk_data] Downloading package wordnet to /home/bjorvl16/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bjorvl16/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] Encoding feature: text... 4922
==============================
Using CPU for training
Dataset: fake-news-datasets-deception-Celebrity
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 400
Train classes: 2
Test size: 100
Test classes: 2
Total features: 4922
==============================
[*] Training for 150 epochs...
Epoch   1: Train%/Test% | Accuracy: 57.00%/53.00% | Precision: 57.17%/52.36% | Recall: 57.10%/52.29% | F1: 56.93%/52.19% | Time: fit=006s, train=000s, test=000s, total=006s
Epoch   2: Train%/Test% | Accuracy: 55.50%/59.00% | Precision: 68.35%/78.42% | Recall: 56.31%/55.43% | F1: 47.27%/46.05% | Time: fit=005s, train=000s, test=000s, total=005s
Epoch   3: Train%/Test% | Accuracy: 68.00%/65.00% | Precision: 71.48%/69.11% | Recall: 68.39%/62.76% | F1: 66.93%/60.72% | Time: fit=005s, train=000s, test=000s, total=005s
Epoch   4: Train%/Test% | Accuracy: 75.50%/60.00% | Precision: 77.37%/60.39% | Recall: 75.23%/60.39% | F1: 74.94%/60.00% | Time: fit=004s, train=000s, test=000s, total=005s
Epoch   5: Train%/Test% | Accuracy: 82.00%/69.00% | Precision: 82.00%/68.83% | Recall: 82.01%/68.88% | F1: 82.00%/68.85% | Time: fit=004s, train=000s, test=000s, total=004s
Epoch   6: Train%/Test% | Accuracy: 52.25%/55.00% | Precision: 75.32%/77.27% | Recall: 53.19%/51.09% | F1: 39.61%/37.42% | Time: fit=004s, train=000s, test=000s, total=004s
Epoch   7: Train%/Test% | Accuracy: 57.75%/57.00% | Precision: 76.85%/77.84% | Recall: 58.58%/53.26% | F1: 49.58%/41.88% | Time: fit=004s, train=000s, test=000s, total=004s
Epoch   8: Train%/Test% | Accuracy: 71.50%/62.00% | Precision: 81.61%/71.21% | Recall: 72.06%/59.02% | F1: 69.35%/53.86% | Time: fit=004s, train=000s, test=000s, total=004s
Epoch   9: Train%/Test% | Accuracy: 69.75%/64.00% | Precision: 80.91%/68.12% | Recall: 70.34%/61.67% | F1: 67.13%/59.29% | Time: fit=004s, train=000s, test=000s, total=004s
Epoch  10: Train%/Test% | Accuracy: 74.00%/65.00% | Precision: 82.67%/69.11% | Recall: 74.51%/62.76% | F1: 72.41%/60.72% | Time: fit=004s, train=000s, test=000s, total=004s
Epoch  11: Train%/Test% | Accuracy: 85.50%/72.00% | Precision: 88.58%/74.29% | Recall: 85.78%/70.53% | F1: 85.27%/70.29% | Time: fit=003s, train=000s, test=000s, total=004s
Epoch  12: Train%/Test% | Accuracy: 88.75%/76.00% | Precision: 89.01%/76.87% | Recall: 88.67%/76.65% | F1: 88.71%/75.99% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  13: Train%/Test% | Accuracy: 83.50%/77.00% | Precision: 87.22%/80.07% | Recall: 83.18%/78.22% | F1: 82.98%/76.81% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  14: Train%/Test% | Accuracy: 80.75%/70.00% | Precision: 85.65%/75.71% | Recall: 80.38%/71.74% | F1: 79.93%/69.21% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  15: Train%/Test% | Accuracy: 88.75%/74.00% | Precision: 89.93%/75.83% | Recall: 88.58%/74.96% | F1: 88.63%/73.91% | Time: fit=004s, train=000s, test=000s, total=004s
Epoch  16: Train%/Test% | Accuracy: 86.75%/76.00% | Precision: 88.84%/78.61% | Recall: 86.52%/77.13% | F1: 86.51%/75.85% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  17: Train%/Test% | Accuracy: 87.50%/74.00% | Precision: 89.35%/76.49% | Recall: 87.28%/75.12% | F1: 87.30%/73.83% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  18: Train%/Test% | Accuracy: 89.25%/73.00% | Precision: 90.45%/76.59% | Recall: 89.08%/74.36% | F1: 89.14%/72.67% | Time: fit=003s, train=000s, test=000s, total=003s
