[nltk_data] Downloading package wordnet to /home/bjorvl16/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bjorvl16/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] Encoding feature: text... 4922
==============================
Using GPU for training
Dataset: fake-news-datasets-deception-Celebrity
TMU params: num-clauses=5000, T=150, s=10.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 400
Train classes: 2
Test size: 100
Test classes: 2
Total features: 4922
==============================
[*] Training for 150 epochs...
Epoch   1: Train%/Test% | Accuracy: 49.00%/54.00% | Precision: 24.50%/27.00% | Recall: 50.00%/50.00% | F1: 32.89%/35.06% | Time: fit=009s, train=001s, test=000s, total=010s
Epoch   2: Train%/Test% | Accuracy: 49.50%/54.00% | Precision: 74.62%/27.00% | Recall: 50.49%/50.00% | F1: 33.97%/35.06% | Time: fit=005s, train=001s, test=000s, total=007s
Epoch   3: Train%/Test% | Accuracy: 79.75%/61.00% | Precision: 81.71%/62.48% | Recall: 79.50%/61.96% | F1: 79.33%/60.81% | Time: fit=005s, train=001s, test=000s, total=007s
Epoch   4: Train%/Test% | Accuracy: 79.75%/62.00% | Precision: 83.14%/63.60% | Recall: 80.07%/59.98% | F1: 79.33%/58.24% | Time: fit=005s, train=001s, test=000s, total=007s
Epoch   5: Train%/Test% | Accuracy: 81.50%/65.00% | Precision: 84.08%/67.80% | Recall: 81.22%/66.30% | F1: 81.04%/64.57% | Time: fit=005s, train=001s, test=000s, total=007s
Epoch   6: Train%/Test% | Accuracy: 84.75%/66.00% | Precision: 85.92%/67.08% | Recall: 84.57%/66.75% | F1: 84.57%/65.95% | Time: fit=005s, train=001s, test=000s, total=007s
Epoch   7: Train%/Test% | Accuracy: 86.00%/70.00% | Precision: 87.11%/70.49% | Recall: 86.17%/69.00% | F1: 85.93%/69.00% | Time: fit=005s, train=001s, test=000s, total=007s
Epoch   8: Train%/Test% | Accuracy: 87.50%/72.00% | Precision: 87.75%/71.83% | Recall: 87.59%/71.66% | F1: 87.49%/71.72% | Time: fit=005s, train=001s, test=000s, total=007s
Epoch   9: Train%/Test% | Accuracy: 86.75%/73.00% | Precision: 86.77%/72.84% | Recall: 86.78%/72.91% | F1: 86.75%/72.87% | Time: fit=005s, train=001s, test=000s, total=007s
Epoch  10: Train%/Test% | Accuracy: 86.00%/71.00% | Precision: 86.65%/71.14% | Recall: 86.13%/70.25% | F1: 85.96%/70.33% | Time: fit=005s, train=001s, test=000s, total=007s
Epoch  11: Train%/Test% | Accuracy: 88.25%/71.00% | Precision: 88.25%/70.81% | Recall: 88.26%/70.73% | F1: 88.25%/70.76% | Time: fit=005s, train=001s, test=000s, total=007s
Epoch  12: Train%/Test% | Accuracy: 89.75%/68.00% | Precision: 89.79%/67.87% | Recall: 89.72%/67.95% | F1: 89.74%/67.88% | Time: fit=005s, train=001s, test=000s, total=007s
Epoch  13: Train%/Test% | Accuracy: 91.25%/70.00% | Precision: 91.25%/70.00% | Recall: 91.24%/70.13% | F1: 91.25%/69.95% | Time: fit=005s, train=001s, test=000s, total=007s
Epoch  14: Train%/Test% | Accuracy: 93.00%/71.00% | Precision: 93.26%/71.09% | Recall: 92.93%/71.22% | F1: 92.98%/70.97% | Time: fit=005s, train=001s, test=000s, total=007s
Epoch  15: Train%/Test% | Accuracy: 93.50%/72.00% | Precision: 93.49%/71.88% | Recall: 93.51%/71.98% | F1: 93.50%/71.90% | Time: fit=005s, train=001s, test=000s, total=006s
