[nltk_data] Downloading package wordnet to /home/bjorvl16/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bjorvl16/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] Encoding feature: text... 4922
==============================
Using GPU for training
Dataset: fake-news-datasets-deception-Celebrity
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 400
Train classes: 2
Test size: 100
Test classes: 2
Total features: 4922
==============================
[*] Training for 150 epochs...
Epoch   1: Train%/Test% | Accuracy: 49.00%/54.00% | Precision: 49.50%/27.00% | Recall: 49.99%/50.00% | F1: 33.31%/35.06% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch   2: Train%/Test% | Accuracy: 54.25%/54.00% | Precision: 75.86%/52.04% | Recall: 55.15%/50.16% | F1: 43.42%/36.95% | Time: fit=001s, train=000s, test=000s, total=002s
Epoch   3: Train%/Test% | Accuracy: 74.25%/54.00% | Precision: 82.30%/64.29% | Recall: 73.74%/56.92% | F1: 72.27%/48.75% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch   4: Train%/Test% | Accuracy: 87.25%/62.00% | Precision: 89.47%/63.60% | Recall: 87.49%/59.98% | F1: 87.11%/58.24% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch   5: Train%/Test% | Accuracy: 93.00%/69.00% | Precision: 93.44%/69.56% | Recall: 93.11%/67.91% | F1: 92.99%/67.84% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch   6: Train%/Test% | Accuracy: 95.00%/74.00% | Precision: 95.07%/73.86% | Recall: 95.05%/73.67% | F1: 95.00%/73.74% | Time: fit=001s, train=000s, test=000s, total=002s
Epoch   7: Train%/Test% | Accuracy: 89.75%/71.00% | Precision: 91.19%/73.46% | Recall: 89.94%/69.44% | F1: 89.69%/69.07% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch   8: Train%/Test% | Accuracy: 96.00%/72.00% | Precision: 96.07%/71.92% | Recall: 96.05%/71.50% | F1: 96.00%/71.59% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch   9: Train%/Test% | Accuracy: 97.25%/75.00% | Precision: 97.25%/75.09% | Recall: 97.25%/74.44% | F1: 97.25%/74.57% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch  10: Train%/Test% | Accuracy: 95.25%/72.00% | Precision: 95.58%/72.66% | Recall: 95.34%/71.01% | F1: 95.25%/71.06% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch  11: Train%/Test% | Accuracy: 94.75%/72.00% | Precision: 95.16%/72.66% | Recall: 94.85%/71.01% | F1: 94.74%/71.06% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch  12: Train%/Test% | Accuracy: 99.25%/75.00% | Precision: 99.25%/74.93% | Recall: 99.25%/74.60% | F1: 99.25%/74.69% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch  13: Train%/Test% | Accuracy: 99.50%/75.00% | Precision: 99.51%/74.85% | Recall: 99.49%/74.76% | F1: 99.50%/74.80% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch  14: Train%/Test% | Accuracy: 98.75%/76.00% | Precision: 98.76%/75.85% | Recall: 98.74%/75.85% | F1: 98.75%/75.85% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch  15: Train%/Test% | Accuracy: 99.75%/70.00% | Precision: 99.75%/69.87% | Recall: 99.75%/69.97% | F1: 99.75%/69.89% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch  16: Train%/Test% | Accuracy: 100.00%/70.00% | Precision: 100.00%/70.00% | Recall: 100.00%/70.13% | F1: 100.00%/69.95% | Time: fit=001s, train=000s, test=000s, total=001s
